nm lambda,1,2,3,4,5,6,7,8
419.884,0.04,0.062,0.063,0.085,0.083,0.069,0.121,0.108
420.055,0.039,0.061,0.062,0.083,0.082,0.068,0.119,0.106
420.227,0.039,0.06,0.06,0.081,0.08,0.068,0.116,0.105
420.398,0.038,0.059,0.059,0.08,0.078,0.067,0.114,0.104
420.57,0.037,0.058,0.058,0.079,0.076,0.066,0.111,0.103
420.742,0.037,0.058,0.057,0.078,0.075,0.066,0.109,0.102
420.913,0.036,0.055,0.056,0.076,0.073,0.065,0.106,0.1
421.085,0.035,0.054,0.054,0.075,0.071,0.064,0.105,0.099
421.256,0.034,0.053,0.053,0.074,0.069,0.063,0.104,0.098
421.428,0.033,0.053,0.051,0.073,0.068,0.062,0.102,0.098
421.599,0.032,0.053,0.051,0.071,0.067,0.062,0.101,0.098
421.771,0.032,0.053,0.049,0.071,0.066,0.061,0.1,0.098
421.943,0.031,0.052,0.049,0.069,0.065,0.061,0.099,0.097
422.114,0.03,0.052,0.048,0.068,0.064,0.062,0.098,0.097
422.286,0.029,0.052,0.047,0.067,0.063,0.062,0.097,0.096
422.457,0.029,0.052,0.048,0.067,0.063,0.062,0.097,0.097
422.629,0.029,0.052,0.047,0.066,0.063,0.063,0.096,0.097
422.8,0.028,0.053,0.046,0.065,0.063,0.063,0.095,0.096
422.972,0.027,0.053,0.046,0.065,0.064,0.063,0.096,0.096
423.144,0.027,0.053,0.046,0.063,0.064,0.064,0.096,0.095
423.315,0.026,0.053,0.045,0.061,0.064,0.064,0.095,0.096
423.487,0.027,0.054,0.045,0.061,0.064,0.065,0.096,0.097
423.658,0.027,0.054,0.044,0.06,0.063,0.066,0.094,0.097
423.83,0.027,0.055,0.044,0.06,0.064,0.067,0.093,0.097
424.002,0.027,0.054,0.042,0.058,0.063,0.067,0.092,0.096
424.173,0.027,0.054,0.042,0.058,0.063,0.068,0.091,0.096
424.345,0.026,0.054,0.041,0.058,0.062,0.069,0.089,0.097
424.516,0.027,0.055,0.042,0.059,0.062,0.069,0.088,0.098
424.688,0.028,0.055,0.041,0.058,0.061,0.07,0.086,0.097
424.859,0.029,0.055,0.042,0.059,0.061,0.07,0.084,0.098
425.031,0.028,0.054,0.041,0.057,0.058,0.069,0.081,0.097
425.203,0.028,0.054,0.04,0.057,0.057,0.069,0.079,0.098
425.374,0.027,0.053,0.038,0.056,0.055,0.068,0.076,0.097
425.546,0.027,0.053,0.037,0.056,0.054,0.068,0.075,0.098
425.717,0.026,0.052,0.036,0.054,0.053,0.067,0.072,0.097
425.889,0.026,0.052,0.036,0.054,0.052,0.067,0.07,0.097
426.061,0.025,0.051,0.034,0.053,0.05,0.066,0.069,0.097
426.232,0.024,0.05,0.033,0.051,0.049,0.066,0.068,0.097
426.404,0.023,0.05,0.033,0.051,0.048,0.065,0.067,0.097
426.575,0.023,0.05,0.031,0.05,0.047,0.065,0.065,0.096
426.747,0.021,0.049,0.029,0.048,0.046,0.063,0.065,0.095
426.919,0.021,0.049,0.029,0.047,0.045,0.063,0.065,0.096
427.09,0.021,0.048,0.028,0.046,0.044,0.062,0.064,0.096
427.262,0.021,0.048,0.027,0.044,0.044,0.062,0.063,0.095
427.433,0.021,0.048,0.026,0.044,0.043,0.063,0.064,0.095
427.605,0.02,0.047,0.025,0.043,0.043,0.063,0.063,0.094
427.777,0.019,0.047,0.023,0.041,0.042,0.064,0.062,0.093
427.948,0.018,0.046,0.022,0.04,0.042,0.064,0.061,0.093
428.12,0.017,0.046,0.022,0.039,0.04,0.064,0.061,0.093
428.291,0.016,0.046,0.021,0.038,0.04,0.065,0.061,0.094
428.463,0.016,0.046,0.02,0.037,0.039,0.066,0.06,0.094
428.635,0.017,0.047,0.021,0.038,0.039,0.068,0.059,0.094
428.806,0.016,0.048,0.02,0.037,0.038,0.068,0.058,0.094
428.978,0.015,0.048,0.019,0.036,0.037,0.068,0.056,0.094
